conversation_id,created_at,estimated_cost,grok_model,id,processing_time_ms,sentiment,summary,tokens_used,topics,updated_at
99,2026-02-08T19:41:43,$0.000066,,99,377,neutral,@115743 There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC,33,"['moment', 'updates']",2026-02-08T19:41:43
100,2026-02-08T19:41:43,$0.000024,,100,330,neutral,@AskPlayStation @115743 Can I get help already??,12,['already'],2026-02-08T19:41:43
96,2026-02-08T19:41:42,$0.000040,,96,341,positive,Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭,20,"['considering', 'walking', 'onesie', 'halloween']",2026-02-08T19:41:42
97,2026-02-08T19:41:42,$0.000028,,97,334,positive,@115742 I love it! Thanks so much for stopping by. -Becky,14,['stopping'],2026-02-08T19:41:42
98,2026-02-08T19:41:42,$0.000048,,98,350,neutral,@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T,24,"['better', 'halloween']",2026-02-08T19:41:42
93,2026-02-08T19:41:41,$0.000028,,93,332,neutral,@ChipotleTweets Also I got the onesie at target. So cozy,14,"['onesie', 'target']",2026-02-08T19:41:41
94,2026-02-08T19:41:41,$0.000060,,94,373,positive,@ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight,30,"['feeling', 'myself', 'because', 'fiancé', 'driving']",2026-02-08T19:41:41
95,2026-02-08T19:41:41,$0.000046,,95,347,neutral,"@115741 You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky",23,['onesie'],2026-02-08T19:41:41
91,2026-02-08T19:41:40,$0.000028,,91,341,neutral,$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️,14,"['burritos', 'nowhere']",2026-02-08T19:41:40
92,2026-02-08T19:41:40,$0.000010,,92,313,neutral,@115741 Noted 😊 -Becky,5,[],2026-02-08T19:41:40
88,2026-02-08T19:41:39,$0.000058,,88,373,neutral,@115739 That's incredibly concerning. Please provide more details so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky,29,"['incredibly', 'concerning', 'please', 'provide', 'details']",2026-02-08T19:41:39
89,2026-02-08T19:41:39,$0.000042,,89,345,neutral,@ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr,21,['napkin'],2026-02-08T19:41:39
